id	title	url	status	description
T17	On Divergence Measures for Training GFlowNets	https://proceedings.neurips.cc/paper_files/paper/2024/hash/8aaae73117c9266b35eb977e70fcf95f-Abstract-Conference.html	NeurIPS 2024	系统研究不同 divergence 如何诱导 GFlowNet 训练目标，并指出实践失败往往来自梯度估计方差而非 divergence 本身。论文进一步构造 control variate，是连接 loss 设计、VI 和稳定优化的重要工作。
T18	Expected Flow Networks in Stochastic Environments and Two-Player Zero-Sum Games	https://iclr.cc/virtual/2024/poster/17581	ICLR 2024	用期望意义下的流约束扩展确定性 GFlowNet，使其能够处理随机环境和二人零和博弈。阅读重点是“逐转移守恒”放宽为“条件期望守恒”后，正确性需要哪些假设。
T19	A Theory of Non-Acyclic Generative Flow Networks	https://ojs.aaai.org/index.php/AAAI/article/view/28989	AAAI 2024	建立允许环的一般 GFlowNet 理论，用 expected visit flow 和吸收条件取代 DAG 中的简单路径计数，并揭示循环可能造成的 flow explosion。它是最短路、持续规划和 GFlowNet–OT 方向的第一块理论基石。
T20	Diffusion Generative Flow Samplers	https://arxiv.org/abs/2310.02679	ICLR 2024	将 GFlowNet 的部分轨迹训练信号引入连续迭代式 diffusion sampler，以学习未归一化目标分布。它代表离散构造流与连续随机路径生成的一条早期交叉路线。
T21	Learning Energy Decompositions for Partial Inference in GFlowNets	https://iclr.cc/virtual/2024/poster/18721	ICLR 2024	学习把终点能量分解到中间状态的势函数，为部分轨迹提供局部信用。它特别适合 reward 可评价但天然分解未知的任务。
T22	Pre-Training and Fine-Tuning Generative Flow Networks	https://iclr.cc/virtual/2024/poster/17406	ICLR 2024	先进行 outcome-conditioned、弱依赖具体奖励的预训练，再对下游目标微调。论文探索 GFN 能否像通用生成模型一样复用表示和构造策略。
T23	Local Search GFlowNets	https://iclr.cc/virtual/2024/poster/19387	ICLR 2024	在已有样本附近执行回退和重构，将局部搜索轨迹用于 off-policy 训练，以更快进入高奖励区域。它改善发现效率，但评估时必须同时检查分布误差而非只看最佳奖励。
T24	Embarrassingly Parallel GFlowNets	https://proceedings.mlr.press/v235/silva24a.html	ICML 2024	并行训练多个具有不同经验或偏好的子 GFN，再组合其覆盖能力。论文聚焦多峰目标下的 mode coverage 和可扩展训练，是 ensemble/exploration 路线的重要基线。
T25	Pessimistic Backward Policy for GFlowNets	https://proceedings.neurips.cc/paper_files/paper/2024/hash/c1ab28d0fe0bfb53067a1af7e578cd7d-Abstract-Conference.html	NeurIPS 2024	设计更“悲观”的后向策略来改变内部轨迹分配，使训练更集中于高奖励区域。它说明 \(P_B\) 不是无关紧要的辅助量，而会实质影响优化难度和探索—利用行为。
T26	QGFN: Controllable Greediness with Action Values	https://proceedings.neurips.cc/paper_files/paper/2024/hash/948d8ba4e30c8c3a800cf436b31f376e-Abstract-Conference.html	NeurIPS 2024	引入动作价值信息，在推断阶段连续调节采样的 greediness，而无需为每种温度重新训练模型。适合需要在“忠实分布采样”和“更高奖励搜索”之间动态切换的场景。
T27	Streaming Bayes GFlowNets	https://proceedings.neurips.cc/paper_files/paper/2024/hash/2fb57276bfbaf1b832d7bfcba36bb41c-Abstract-Conference.html	NeurIPS 2024	研究新数据批次不断到达时如何增量更新离散后验 GFN，避免每次从头训练。它把 GFN 推向在线 Bayesian inference，并暴露旧后验、重加权和遗忘之间的权衡。
T28	Learning to Scale Logits for Temperature-Conditional GFlowNets	https://proceedings.mlr.press/v235/kim24s.html	ICML 2024	用单个条件模型学习跨温度的 logit 缩放，从而覆盖从多样采样到集中搜索的一族目标分布。论文适合研究 reward tempering 的校准和条件泛化。
T29	On Generalization for GFlowNets	https://arxiv.org/abs/2407.03105	预印本 2024	从统计学习角度讨论仅见到部分状态或轨迹时，局部 balance 拟合能否推广到未见区域。其价值是提出泛化问题和初步理论视角；结论需结合后续正式论文与实证工作阅读。
T30	Action Abstractions for Amortized Sampling	https://arxiv.org/abs/2410.15184	ICLR 2025	通过宏动作或动作抽象缩短有效生成深度，减少长轨迹中的信用传播负担。它对层次化构造、规划和长序列 GFN 很有启发，但抽象动作是否保持支持覆盖是关键。
T31	Optimizing Backward Policies in GFlowNets via Trajectory Likelihood Maximization	https://proceedings.iclr.cc/paper_files/paper/2025/hash/f3efbcfe76bed022a37c5aeb1daf2326-Abstract-Conference.html	ICLR 2025	通过轨迹似然最大化和 entropy-RL 视角显式优化 \(P_B\)，而不是把它固定为均匀分布。论文显示后向策略可用来选择更易学习的内部流，并改善前向采样。
T32	When Do GFlowNets Learn the Right Distribution?	https://proceedings.iclr.cc/paper_files/paper/2025/hash/a48f8928f78a58399ef0049453c14b02-Abstract-Conference.html	ICLR 2025 Spotlight	分析局部 balance 误差、函数表示限制与最终对象分布误差之间的关系，并提出比平均 loss 更可靠的 correctness 评价。它直接回答“loss 很低是否代表采样正确”，是 2025 年最重要的理论诊断论文之一。
T33	Generalization and Distributed Learning of GFlowNets	https://iclr.cc/virtual/2025/poster/29760	ICLR 2025	给出数据依赖的泛化分析，并提出异步分布式 SAL 训练方法。它把“训练轨迹覆盖不足”和“多工作器扩展”放进同一研究框架。
T34	Beyond Squared Error: Exploring Loss Design for Enhanced Training of Generative Flow Networks	https://proceedings.iclr.cc/paper_files/paper/2025/hash/353ec686503cd7020460d2829578ee4e-Abstract-Conference.html	ICLR 2025	系统比较平方误差之外的回归损失，研究尾部惩罚和鲁棒性如何改变探索—利用及梯度行为。它提醒读者：同一个零点条件不意味着有限训练性质相同。
T35	Towards Improving Exploration through Sibling Augmented GFlowNets	https://iclr.cc/virtual/2025/poster/30233	ICLR 2025	用一个探索 sibling 与主 GFN 协作，将发现新模式和保持目标分布的职责部分解耦。它适合稀疏奖励环境，也为 2026 年 ACE 一类双网络方法提供背景。
T36	Revisiting Non-Acyclic GFlowNets in Discrete Environments	https://proceedings.mlr.press/v267/morozov25a.html	ICML 2025	在有限离散非无环环境中给出更简洁的存在性、唯一性和稳定性分析，并刻画固定 \(P_B\) 与 minimum flow 的关系。它把抽象非无环理论推进到可计算形式，是 O07/O08 的直接前置。
T37	Random Policy Evaluation Uncovers Policies of GFlowNets	https://proceedings.mlr.press/v267/he25a.html	ICML 2025	把 GFlowNet flow 与普通随机策略的 policy evaluation 联系起来，提供分析策略结构的新工具。该视角有助于复用 RL 的值函数方法理解内部流。
T38	Symmetry-Aware GFlowNets	https://proceedings.mlr.press/v267/kim25s.html	ICML 2025	处理多个轨迹或表示对应同一对称对象时产生的系统采样偏差，并在训练中显式利用等价类结构。图、分子和组合对象中若忽略对称性，模型可能学到错误的对象边缘分布。
T39	Ergodic Generative Flows	https://proceedings.mlr.press/v267/brunswic25a.html	ICML 2025	以遍历变换和较弱的 flow-matching 条件推广 GFN，覆盖循环、连续变换及模仿学习等情形。它与非无环 GFN 相关，但采用不同的动力系统和遍历性视角。
T40	Secrets of GFlowNets' Learning Behavior: A Theoretical Study	https://arxiv.org/abs/2505.02035	预印本 2025	分析 GFlowNet 的训练动力学和策略演化，试图解释模型为何会经历特定的模式发现与再分配过程。适合作为假设生成材料，关键结论仍应在可枚举任务上独立核验。
T41	Hybrid-Balance GFlowNet for Solving Vehicle Routing Problems	https://proceedings.neurips.cc/paper_files/paper/2025/hash/1898054a9392207250ad9cfde5286b2c-Abstract-Conference.html	NeurIPS 2025 Spotlight	面向车辆路径问题（VRP/CVRP/TSP），自适应结合 TB 的全局监督与 DB 的局部监督，并为含仓库节点的 CVRP 设计专门推断策略；以插件形式嵌入 AGFN、GFACS 等 GFlowNet 求解器。宜归入组合优化应用而非通用信用分配方法。
T42	Adaptive Quantization in Generative Flow Networks for Probabilistic Sequential Prediction	https://proceedings.neurips.cc/paper_files/paper/2025/hash/dc63026c74191032dff373ed9d2d038a-Abstract-Conference.html	NeurIPS 2025	为概率序列预测学习非均匀离散化，使 GFN 能把建模容量分配到更重要的数值区域。论文说明状态空间离散方式本身也是可学习的建模选择。
T43	Flow Factorization for Efficient Generative Flow Networks	https://ojs.aaai.org/index.php/AAAI/article/view/34887	AAAI 2025	将边流分解为状态流与动作分配项，以减少直接参数化所有边的成本。该结构化分解有利于大动作空间中的计算效率和可解释性。
T44	Relative Trajectory Balance Is Equivalent to Trust-PCL	https://arxiv.org/abs/2509.01632	NeurIPS 2025 FPI Workshop	给出 relative TB 与 path-consistency RL 方法 Trust-PCL 的对应关系，进一步收紧 GFN 与最大熵 RL 的理论连接。阅读时应检查两边使用的路径分布、基准量和边界条件是否完全一致。
T45	Boosted GFlowNets: Improving Exploration via Sequential Learning	https://arxiv.org/abs/2511.09677	AISTATS 2026	用一系列 residual-reward GFN 逐步修补当前模型欠覆盖的区域，再组合成 boosted sampler。它把 boosting 思想引入模式覆盖，适合与 sibling/ACE 双网络探索方法比较。
T46	Controlling Exploration-Exploitation in GFlowNets via Markov Chain Perspectives	https://arxiv.org/abs/2602.01749	预印本 2026	从 Markov-chain 视角引入可调参数 \(\alpha\)（方法名 \(\alpha\)-GFN），显式控制探索与利用强度。其吸引力在于统一调节行为，但需要进一步确认不同任务上的分布校准和理论保证。
T47	Evaluating GFlowNet from Partial Episodes	https://iclr.cc/virtual/2026/poster/10007783	ICLR 2026	提出 evaluation balance 和 partial-episode evaluator，在不完整轨迹上估计或诊断策略，并连接 value-based 与 policy-based GFN。它提供了训练 loss 之外的新评价接口。
T48	Loss-Guided Auxiliary Agents for Overcoming Mode Collapse in GFlowNets	https://ojs.aaai.org/index.php/AAAI/article/view/39613	AAAI 2026	训练辅助 agent 专门访问主模型高 loss、低覆盖的区域，再把经验回流给主 GFN。方法把“哪里最需要数据”直接绑定到局部训练误差。
T49	\(f\)-Trajectory Balance	https://icml.cc/virtual/2026/poster/61247	ICML 2026	建立 translation-invariant trajectory loss 与 \(f\)-divergence 的系统对应，使 TB loss 设计从经验试错转向 divergence 选择。它是 2026 年训练目标理论中最值得优先精读的工作。
T50	Avoid What You Know: Divergent Trajectory Balance for GFlowNets	https://icml.cc/virtual/2026/poster/62783	ICML 2026 主会	ACE 同时维护 canonical GFN 和 exploration GFN，让后者针对主模型欠覆盖的高奖励区域收集数据。它代表将“目标分布拟合”和“主动找盲区”解耦的最新探索路线；arXiv 元数据若仍写 under review，应以 ICML 官方主会页为准。
T51	Stable GFlowNets with Probabilistic Guarantees	https://arxiv.org/abs/2605.01729	预印本 2026	尝试把可观测训练误差转化为全局分布距离或稳定性证书，直接回应 low-loss/high-TV 的风险。潜力很高，但使用其保证时必须核对有限状态、覆盖和误差界假设。
T52	GFlowState: Visualizing the Training of Generative Flow Networks Beyond the Reward	https://arxiv.org/abs/2604.21830	预印本 2026	提出可视化和描述 GFlowNet 训练状态的诊断方法，避免只用平均奖励或单一 loss 判断模型。它更像分析工具，价值取决于指标能否预测真实分布误差。
T53	Beyond the Proxy: Trajectory-Distilled Guidance for Offline GFlowNet Training	https://icml.cc/virtual/2026/poster/62632	ICML 2026	TD-GFN 用逆强化学习从离线优质轨迹中蒸馏引导信号，同时让最终 GFN 更新仍依赖真实终点奖励。它试图利用 proxy 或专家轨迹而不永久继承其偏差。
T54	Rooted Absorbed Prefix Trajectory Balance with Submodular Replay for GFlowNet Training	https://icml.cc/virtual/2026/poster/65366	ICML 2026	RapTB 用 rooted/absorbed 前缀轨迹平衡为长序列提供前缀信用，并用 submodular replay 保持缓存多样性，针对长度偏置和稀疏奖励。它是 LLM/序列 GFN 当前很重要的训练组件。
T55	Routing by Reaching: Composition of Pre-trained GFlowNets for Multi-Objective Generation	https://icml.cc/virtual/2026/poster/61403	ICML 2026	研究如何无需从头重训就组合多个已训练 GFN，以满足新的多目标奖励。它把模型复用和组合泛化带入 GFlowNet，是“foundation sampler”方向的早期探索。
T56	Spectral Flow Matching: Stabilizing Stochastic GFlowNets via Frequency-Domain Regularization	https://icml.cc/virtual/2026/poster/64150	ICML 2026	用频域（谱）正则稳定随机 GFlowNet，提升噪声环境下的稳定性与稀疏奖励探索。阅读时应重点核对频谱约束如何改变目标分布和计算开销。
T57	Proximal Policy Optimization for Amortized Discrete Sampling	https://arxiv.org/abs/2606.15793	ICML 2026 SPIGM Workshop	从最大熵 RL 连接出发，将 PPO 式 clipped policy update 用于摊销离散采样。它可能带来成熟 RL 优化工具，但 clipping 是否引入难以控制的分布偏差是核心问题。
O01	Optimal Transport for Machine Learners	https://arxiv.org/abs/2505.06589	课程讲义/预印本 2025	面向机器学习读者系统讲解 Monge、Kantorovich、对偶、动态 OT、Wasserstein 几何和梯度流。它不是 GFlowNet 论文，但能快速补齐理解 coupling、cost 和正则化所需的 OT 语言。
O02	A Framework for Wasserstein-1-Type Metrics	https://arxiv.org/abs/1701.01945	J. Convex Anal. 2019	给出 Wasserstein-1 型距离的统一框架，将其推广到不同质量的非负测度之间（非平衡 OT），保持凸性与可计算性并涵盖多种已有度量。可作 O08 的 OT 前置，重点体会运输成本、（不）平衡质量与最小费用流/W1 对偶之间的关系。
O03	GeONet: A Neural Operator for Learning the Wasserstein Geodesic	https://proceedings.mlr.press/v244/gracyk24a.html	UAI 2024	用 neural operator 学习分布对之间的 Wasserstein geodesic，目标是跨任务摊销求解动态 OT。它与 GFN–OT 的互补点是连续分布和 geodesic，而非离散图上的构造路径。
O04	Schrödinger Bridge Flow for Unpaired Data Translation	https://arxiv.org/abs/2409.09347	NeurIPS 2024 Spotlight	研究带熵正则的动态 transport 和随机路径桥接，把起点分布逐步推向终点分布。它可用于比较“路径熵正则”与 GFlowNet 中“多条构造路径分配”的相同点和不同点。
O05	Universal Neural Optimal Transport	https://proceedings.mlr.press/v267/geuter25a.html	ICML 2025	学习可条件化、可摊销的 neural OT map 或 plan，希望一个模型处理一族源—目标分布。它是评估 conditional GFlowNet–OT 是否真正具有跨任务泛化优势的重要强基线。
O06	Computing High-Dimensional Optimal Transport by Flow Neural Networks	https://proceedings.mlr.press/v258/xu25f.html	AISTATS 2025	用神经流处理连续高维 OT，重点解决传统离散 coupling 在维度和样本数上的扩展困难。注意这里的 flow neural network 不是 GFlowNet，但可作为连续扩展的相邻方法。
O07	Learning Shortest Paths with Generative Flow Networks	https://arxiv.org/abs/2603.01786	ICML 2026 SPIGM Workshop	研究在满足目标终止分布的多个可行内部流中，minimum-flow 准则为何偏向最短生成路径。它把“采样正确”之外的内部流选择变成优化问题，是从非无环 GFN 走向图 OT 的直接桥梁。
O08	Your GFlowNet Secretly Learns an Optimal Transport Plan	https://arxiv.org/abs/2606.06272	**ICML 2026 SPIGM Workshop；非主会**	论文考虑非无环图、给定源分布与奖励诱导目标分布，并在固定初始流边缘下最小化总流量；在图最短路诱导的 transport cost 下，最优 GFlowNet 边流编码一个 Kantorovich 最优 coupling。它的重要性在于为终点分布相同但内部流不唯一的问题提供 OT 选择原则；它的边界也很明确：结论不是“任意 DAG 上的标准
A01	GFlowNets for AI-Driven Scientific Discovery	https://pubs.rsc.org/en/content/articlelanding/2023/dd/d3dd00002h	Digital Discovery 2023	系统回顾 GFlowNet 在分子、蛋白、材料、因果发现和主动学习中的作用，并解释为什么科学发现往往需要一组多样候选而非单个最优解。适合先建立应用版图，再按具体领域下钻。
A02	Biological Sequence Design with GFlowNets	https://proceedings.mlr.press/v162/jain22a.html	ICML 2022	将序列逐步构造为 GFN 环境，并与主动学习结合，在昂贵 oracle 下寻找多样高适应度生物序列。它是 reward proxy、批量候选和 mode diversity 的经典案例。
A03	Multi-Objective GFlowNets	https://proceedings.mlr.press/v202/jain23a.html	ICML 2023	用偏好向量条件化 GFN，在一次训练后为不同 Pareto 权衡采样多样解。论文说明条件 reward 和温度如何表示用户偏好，适合多指标分子与工程设计。
A04	Multi-Fidelity Active Learning with GFlowNets	https://arxiv.org/abs/2306.11715	TMLR 2024	联合选择候选对象与评估保真度，在低成本近似和高成本真实实验之间分配预算。它把 GFN 从候选生成扩展到实验决策策略。
A05	Towards Equilibrium Molecular Conformation Generation with GFlowNets	https://pubs.rsc.org/en/content/articlelanding/2024/dd/d4dd00023d	Digital Discovery 2024, 3(5):1038–1047	以分子构象能量定义近似 Boltzmann 目标，探索 GFN 对连续/几何构象分布的建模。重点关注坐标参数化、对称性和能量 oracle 误差。
A06	Crystal-GFN	https://arxiv.org/abs/2310.04925	预印本 2023	将晶体结构按组成、空间群和几何参数逐步生成，并纳入有效性及材料性质约束。它展示了复杂结构先验如何进入动作空间和 mask。
A07	PhyloGFN	https://iclr.cc/virtual/2024/poster/18107	ICLR 2024	把系统发育树的逐步合并过程建模为 DAG，在给定序列数据下摊销采样树后验。该任务有明确 Bayesian 目标，是检验 GFN 多路径和结构后验能力的代表案例。
A08	Genetic-guided GFlowNets	https://proceedings.neurips.cc/paper_files/paper/2024/hash/4b25c000967af9036fb9b207b198a626-Abstract-Conference.html	NeurIPS 2024	将遗传算法产生的结构化搜索经验蒸馏到 off-policy GFN 中，以加速高奖励模式发现。论文代表经典启发式搜索与分布学习的混合路线。
A09	RGFN: Synthesizable Molecular Generation Using GFlowNets	https://proceedings.neurips.cc/paper_files/paper/2024/hash/53704142f230054140418ecd8857f391-Abstract-Conference.html	NeurIPS 2024	直接在化学反应和可用构件空间中生成分子，使样本天然附带合成路径。它把可合成性从后验筛选转为生成过程约束。
A10	GFlowNet Assisted Biological Sequence Editing	https://proceedings.neurips.cc/paper_files/paper/2024/hash/c14760740573001c0d18d58879a6a305-Abstract-Conference.html	NeurIPS 2024	从给定 seed sequence 出发进行少量但多样的编辑，而不是完全从头生成。适合研究局部动作、编辑距离约束和保持原序列先验。
A11	SynFlowNet: Design of Diverse and Novel Molecules with Synthesis Constraints	https://iclr.cc/virtual/2025/poster/27946	ICLR 2025	以化学反应和可购买 reactant 为动作，保证生成分子可由显式路径合成。相较原子级生成，它更强调现实可执行性与反应空间覆盖。
A12	Pretraining Generative Flow Networks with Inexpensive Rewards for Molecular Graph Generation	https://proceedings.mlr.press/v267/pandey25b.html	ICML 2025	先用廉价 proxy reward 预训练原子级分子 GFN，再适配昂贵性质目标。它研究 proxy 预训练何时提高样本效率、何时会把偏差带入下游。
A13	Synergy of GFlowNet and Protein Language Model Makes a Diverse Antibody Designer	https://ojs.aaai.org/index.php/AAAI/article/view/34370	AAAI 2025	将蛋白语言模型先验与效力、可开发性等多项 reward 组合，用 GFN 生成多样抗体序列。它是 product-of-experts reward 和生物先验融合的代表应用。
A14	LeakGFN	https://icml.cc/virtual/2026/poster/63060	ICML 2026	区分真正有效分子流和因截断、无效动作产生的“泄漏”终止流，减少化学任务中的目标分布污染。该方法直面现实环境中大量无效 terminal 的建模问题。
A15	Synthesizable Molecular Generation via Soft-constrained GFlowNets with Rich Chemical Priors (S3-GFN)	https://icml.cc/virtual/2026/poster/64424	ICML 2026	结合软约束和大规模 SMILES 先验，提高生成分子的有效性与可合成率，同时保留 GFN 的多样性目标。它代表将 foundation chemistry prior 注入 GFN 的最新路线。
A16	A Distributional Framework for Generative Modeling of Molecular Crystals	https://arxiv.org/abs/2607.05266	预印本 2026	面向分子晶体建立分布式而非单点优化的生成框架，以覆盖多个稳定候选结构。论文很新，重点核查晶体对称性、能量模型和分布评价是否充分。
A17	Bayesian Structure Learning with GFlowNets	https://proceedings.mlr.press/v180/deleu22a.html	UAI 2022	将有向无环图逐边构造，并按 Bayesian score 近似采样因果结构后验。它是 GFN 处理组合对象后验、多条构造路径与配分函数的经典应用。
A18	Joint Bayesian Inference of Graphical Structure and Parameters with a Single GFlowNet	https://neurips.cc/virtual/2023/poster/70228	NeurIPS 2023	在单一 GFN 中联合表示图结构及其连续或离散参数后验，避免结构学习后再单独拟合参数。论文展示混合状态和分层生成在 Bayesian inference 中的价值。
A19	Let the Flows Tell: Solving Graph Combinatorial Problems with GFlowNets	https://proceedings.neurips.cc/paper_files/paper/2023/hash/27571b74d6cd650b8eb6cf1837953ae8-Abstract.html	NeurIPS 2023	把若干图组合优化问题写成逐步构造过程，并用 GFN 生成多样近优解。阅读时应区分优化指标提升与 reward-proportional 分布拟合。
A20	Robust Scheduling with GFlowNets	https://arxiv.org/abs/2302.05446	ICLR 2023	用 GFN 生成一组对不确定扰动具有不同权衡的调度方案，从而提高决策鲁棒性。它说明 GFN 在需要备选方案而非唯一计划的运筹任务中的价值。
A21	Amortizing Intractable Inference in Large Language Models	https://proceedings.iclr.cc/paper_files/paper/2024/hash/bc667ac84ef58f2b5022da97a465cbab-Abstract-Conference.html	ICLR 2024	用 GFlowNet 微调语言模型，使其按后验权重采样潜在推理或文本变量，而不是依赖逐查询 MCMC。它是“LLM 作为摊销离散推断器”的关键早期论文。
A22	Amortizing Intractable Inference in Diffusion Models for Vision, Language, and Control	https://proceedings.neurips.cc/paper_files/paper/2024/hash/8b21a7ea42cbcd1c29a7a88c444cce45-Abstract-Conference.html	NeurIPS 2024	用 relative TB 学习 diffusion 模型中的难后验，覆盖视觉、语言和控制任务。论文展示 GFN 可以学习随机生成过程的条件路径分布，而不仅是离散对象。
A23	Efficient Diversity-Preserving Diffusion Alignment via Gradient-Informed GFlowNets (Nabla-GFlowNet)	https://iclr.cc/virtual/2025/poster/30600	ICLR 2025	利用可微 reward 的梯度引导 diffusion/GFN alignment，在提升目标性质时尽量保持预训练生成先验和输出多样性。它适合与仅使用标量 reward 的方法比较样本效率。
A24	COFlowNet	https://iclr.cc/virtual/2025/poster/28047	ICLR 2025	在没有在线 oracle、只能依赖离线数据时约束流进入数据支持之外的区域，以减少虚假的高奖励外推。论文直面 offline GFN 的 support mismatch。
A25	Flow of Reasoning: Training LLMs for Divergent Reasoning with Minimal Examples	https://proceedings.mlr.press/v267/yu25k.html	ICML 2025	用少量可验证样例训练语言模型生成多条高质量推理路径，强调 divergent reasoning 而非单一路径模仿。评估时应同时看正确率、路径多样性和 reward hacking。
A26	EraseFlow	https://proceedings.neurips.cc/paper_files/paper/2025/hash/66c9de41210338c9581d5313125b7486-Abstract-Conference.html	NeurIPS 2025	用 GFN 探索 diffusion 模型中多样的去概念/擦除轨迹，以避免单一路径造成能力损伤。它把多样轨迹搜索用于模型编辑与安全。
A27	Discovering Latent Graphs with GFlowNets	https://proceedings.neurips.cc/paper_files/paper/2025/hash/96c6f409a374b5c81d2efa4bc5526f27-Abstract-Conference.html	NeurIPS 2025	学习可解释的潜在图结构，再条件化图像生成，以覆盖多种关系配置。GFlowNet 在这里负责对离散潜图进行多样后验式搜索。
A28	GFlowVLM: Enhancing Multi-step Reasoning in Vision-Language Models with Generative Flow Networks	https://openaccess.thecvf.com/content/CVPR2025/html/Kang_GFlowVLM_Enhancing_Multi-step_Reasoning_in_Vision-Language_Models_with_Generative_Flow_CVPR_2025_paper.html	CVPR 2025	将视觉语言模型的多步推理轨迹作为 GFN 构造过程，训练模型覆盖多条高回报 reasoning/planning 路径。论文报告具身规划和 OOD 泛化，是视觉主会中最直接的 GFlowNet 核心应用之一。
